"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"62","DAVID RICHARDSON",5,2,5,5,16,4,0,1,0,4,0,10,4.5,0.9
"63","DEMETRIO GUTIERREZ",4,1,1,1,3,5,0,2,0,0,0,8,1.12,1.12
"64","DERRICK LOOP",9,0,1,0,16,6,0,0,0,3,3,10,0,1.5
"65","DUSTIN CRENSHAW",36,5,15,13,17,8,0,1,1,0,0,30,3.9,1.47
"66","EDER LLAMAS",6,1,4,4,8,2,0,0,1,0,0,12.2,2.84,0.63
"67","EDGAR GOMEZ",13,1,10,10,4,4,0,0,0,0,1,7.1,12.27,2.32
"68","EDGAR GONZALEZ",19,4,9,9,6,2,0,0,0,0,0,15.1,5.28,1.37
"69","EDGAR TORRES",5,3,4,4,1,0,0,0,0,2,0,3,12,1.67
"70","EDUARD SANTOS",3,0,4,4,4,2,0,0,1,0,0,1.1,27,3.75
"71","EDWIN QUIRARTE",13,0,11,9,1,2,0,0,0,0,0,3.2,22.09,4.09
"72","EDWIN SALAS",5,0,1,1,11,2,0,1,1,1,2,10.1,0.87,0.68
"73","EGER ACOSTA",3,0,3,3,8,3,0,0,0,0,0,4.2,5.79,1.29
"74","EL'HAJJ MUHAMMAD",4,0,1,1,1,4,0,1,0,0,3,9.2,0.93,0.83
"75","ERNESTO FRIERI",1,1,1,1,5,1,0,0,0,1,2,3.2,2.45,0.55
"76","ESTEBAN HARO",10,0,4,4,3,2,1,1,1,2,0,5.1,6.75,2.25
"77","EUMIR SEPULVEDA",23,2,17,14,5,15,0,0,3,0,0,18.1,6.87,2.07
"78","FABIAN COTA",6,0,1,1,4,2,0,0,0,3,0,4,2.25,2
"79","FABIAN WILLIAMSON",6,1,6,6,4,4,0,1,0,2,0,3.1,16.2,3
"80","FEDERICO CASTANEDA",5,0,1,1,4,3,0,0,0,3,0,8.2,1.04,0.92
"81","FELIPE ARREDONDO",9,4,5,5,8,3,0,1,0,1,0,10,4.5,1.2
"82","FELIPE GONZALEZ",5,0,2,1,6,4,0,1,1,2,0,8,1.12,1.12
"83","FERNANDO GALLEGOS",13,2,10,10,6,3,0,0,1,0,0,6,15,2.67
"84","FERNANDO VILLALOBOS",10,1,9,7,2,3,0,1,0,1,0,6.2,9.45,1.95
"85","FRANCISCO CAMPOS",6,1,7,7,0,1,0,0,1,0,0,1.1,47.25,5.25
"86","FRANCISCO DEL ROSARIO",7,0,1,1,11,5,0,1,0,3,1,11,0.82,1.09
"87","FRANCISCO GIL",5,1,4,4,1,2,0,0,0,1,0,5,7.2,1.4
"88","FRANCISCO HARO",11,0,3,2,8,2,0,0,0,0,0,11.1,1.59,1.15
"89","FRANCISCO MORENO",16,4,9,7,5,1,0,0,2,0,0,10,6.3,1.7
"90","FRANCISCO RODRIGUEZ",21,3,13,13,12,8,0,0,2,0,0,17.2,6.62,1.64
"91","FRANKIE DE LA CRUZ",32,0,17,15,18,4,0,0,4,0,0,23.1,5.79,1.54
"92","FREDDY GARCIA",19,1,8,6,14,1,0,1,2,0,0,12.2,4.26,1.58
"93","FREDY QUINTERO",9,1,4,2,4,3,0,0,0,1,1,7.1,2.45,1.64
"94","GABE AGUILAR",3,0,0,0,5,2,0,0,0,1,0,4.1,0,1.15
"95","GABINO AVALOS",2,0,4,3,1,3,0,0,0,0,0,1,27,5
"96","GERARDO GUTIERREZ",1,0,3,3,10,3,0,0,0,0,0,5.1,5.06,0.75
"97","GERARDO SANCHEZ",10,0,2,2,4,2,0,1,0,3,0,9,2,1.33
"98","GONZALO OCHOA",3,0,0,0,5,1,0,0,0,0,0,3.1,0,1.2
"99","GONZALO SANUDO",5,0,0,0,5,0,0,0,0,0,0,5.1,0,0.94
"100","GUILLERMO TRUJILLO",12,2,6,6,7,3,0,2,0,0,0,16.2,3.24,0.9
"101","HASSAN PENA",14,1,8,8,4,4,0,0,2,1,0,3.1,21.6,5.4
"102","HECTOR AMBRIZ",10,0,3,3,8,2,0,0,1,0,0,8,3.38,1.5
"103","HECTOR GALVAN",19,2,12,10,5,5,1,0,3,0,0,10.2,8.44,2.25
"104","HENDERSON ALVAREZ",19,1,10,10,8,3,0,1,0,0,0,13.2,6.59,1.61
"105","HENRY OMANA",5,0,8,7,2,14,1,0,1,1,0,9.2,6.52,1.97
"106","HERIBERTO RUELAS",4,0,0,0,13,6,0,1,0,2,2,11.2,0,0.86
"107","HUGO GUTIERREZ",7,0,6,6,1,0,0,0,0,0,0,1,54,7
"108","HUMBERTO MONTIEL",13,0,9,9,3,7,0,0,1,1,0,6.1,12.79,3.16
"109","IRWIN DELGADO",36,5,24,13,22,10,0,2,0,0,0,26.1,4.44,1.75
"110","ISAAC JIMENEZ",7,0,4,4,2,0,0,1,0,0,0,2,18,3.5
"111","ISMAEL CASTILLO",2,1,4,4,6,3,0,0,1,1,0,5,7.2,1
"112","IVAN SALAS",3,0,0,0,2,2,0,1,0,5,0,6.1,0,0.79
"113","IVAN ZAVALA",5,0,2,2,4,3,0,0,1,0,0,6.2,2.7,1.2
"114","JAIME LUGO",22,3,11,11,9,2,0,0,1,0,0,12,8.25,2
"115","JASON URQUIDEZ",8,0,2,2,5,0,0,0,0,0,3,6,3,1.33
"116","JAVIER REYNOSO",8,1,4,4,2,5,0,0,0,2,0,6.1,5.68,2.05
"117","JAVIER SOLANO",27,2,13,11,14,4,0,3,1,0,0,19.2,5.03,1.58
"118","JEAN MACHI",14,3,11,9,9,2,0,1,3,3,2,11.1,7.15,1.41
"119","JEFF IBARRA",4,0,1,1,10,1,0,1,0,2,0,7.2,1.17,0.65
"120","JESSE ESTRADA",6,0,0,0,3,2,0,0,0,2,1,8.2,0,0.92
"121","JESUS ADRIAN CASTILLO",13,0,3,1,16,4,0,2,1,0,0,16,0.56,1.06
"122","JESUS ALCANTAR",9,0,9,8,7,4,0,1,1,0,0,10.1,6.97,1.26
"123","JESUS ANGUAMEA",9,0,2,1,14,7,1,1,0,0,0,13.1,0.68,1.2
"124","JESUS BARRAZA",1,0,0,0,4,3,0,3,0,1,0,9.2,0,0.41
"125","JESUS GARCIA",10,0,7,6,2,0,0,0,0,3,0,4.1,12.46,2.31
"126","JESUS PIRELA",5,1,2,2,1,0,0,0,0,1,0,4.2,3.86,1.07
"127","JOAQUIN LARA",15,1,9,8,8,2,0,1,0,0,0,7.1,9.82,2.32
"128","JOHN MILLAN",7,0,3,3,0,2,0,0,0,0,0,3.2,7.36,2.45
"129","JONATHAN CASTELLANOS",16,0,4,4,7,7,0,2,0,0,0,15.1,2.35,1.5
"130","JONATHAN FRUTOS",5,0,2,2,2,6,0,0,0,0,0,4.1,4.15,2.54
"131","JONATHAN PARTIDA",1,0,0,0,0,3,0,0,0,1,0,2.2,0,1.5
"132","JORDAN ABOITES",5,2,5,4,6,5,0,0,2,0,0,6,6,1.67
"133","JORGE IBARRA",5,0,3,3,5,2,0,0,0,4,0,6.1,4.26,1.11
"134","JORGE QUINONES",2,0,2,2,0,1,0,0,0,0,0,0.2,27,4.5
"135","JORGE REYES",15,0,6,6,9,3,0,0,0,0,0,11.2,4.63,1.54
"136","JORGE RIVERA",21,0,10,8,13,3,0,0,0,2,0,20,3.6,1.2
"137","JOSE ASCANIO",5,0,2,2,2,1,0,0,0,0,2,3.2,4.91,1.64
"138","JOSE BARAJAS",15,1,12,11,6,8,0,0,2,0,0,11,9,2.09
"139","JOSE CARLOS MEDINA",5,1,2,2,5,2,0,0,0,0,0,5,3.6,1.4
"140","JOSE FRUTOS",2,0,0,0,2,2,0,0,0,0,0,2.2,0,1.5
"141","JOSE HAROS",2,0,0,0,2,0,0,0,0,0,0,2,0,1
"142","JOSE ISIDRO MARQUEZ",3,2,2,2,3,1,0,0,0,2,0,3.2,4.91,1.09
"143","JOSE LOPEZ CRUZ",19,0,8,8,9,4,0,1,1,1,0,10.2,6.75,2.16
"144","JOSE MANUEL LOPEZ",12,1,3,3,9,4,0,0,0,2,0,7.2,3.52,2.09
"145","JOSE MARRUJO",29,3,25,24,7,11,0,1,2,0,0,17,12.71,2.35
"146","JOSE MERAZ",2,0,1,1,3,0,0,0,0,1,0,2.2,3.38,0.75
"147","JOSE PINA",14,2,4,4,15,7,0,3,0,0,0,21,1.71,1
"148","JOSE SAMAYOA",23,0,4,4,20,8,1,2,2,0,0,32,1.12,0.97
"149","JOSH JUDY",7,0,2,2,1,2,0,0,1,3,0,7.2,2.35,1.17
"150","JOSH LOWEY",20,2,8,8,24,9,0,1,1,0,0,20,3.6,1.45
"151","JOSH LUEKE",3,0,2,2,7,1,0,1,0,0,3,7,2.57,0.57
"152","JOVANY LOPEZ",9,1,10,10,2,2,0,0,0,1,0,3.1,27,3.3
"153","JUAN GRULLON",11,0,4,2,10,4,0,2,0,0,2,8.2,2.08,1.73
"154","JUAN MACIAS",8,0,2,2,5,1,0,0,0,0,0,6.2,2.7,1.35
"155","JUAN OMAR ESPINOZA",8,1,6,6,5,4,0,0,0,0,0,9.1,5.79,1.29
"156","JUAN PABLO ORAMAS",21,1,8,6,19,13,0,3,0,0,0,28.1,1.91,1.2
"157","JUAN PANIAGUA",0,0,0,0,2,0,0,0,0,0,2,2,0,0
"158","JUAN RAMON NORIEGA",11,1,5,5,6,1,0,2,0,4,0,9,5,1.33
"159","JUAN RODRIGUEZ",8,0,8,8,3,6,0,0,1,2,0,6.2,10.8,2.1
"160","JUAN SANDOVAL",14,2,6,6,5,0,0,1,1,2,0,10.1,5.23,1.35
"161","JULIAN ARBALLO",7,1,3,3,5,4,0,0,0,2,0,4.2,5.79,2.36
"162","JULIO FELIX",6,0,5,5,6,3,0,1,0,1,0,9,5,1
"163","KELVIN MARTE",16,0,9,9,7,7,0,1,1,0,0,15.2,5.17,1.47
"164","KYLE DRABEK",7,2,11,11,2,7,0,0,2,0,0,2,49.5,7
"165","KYLE LOBSTEIN",14,0,2,2,10,9,0,1,0,0,0,14.1,1.26,1.6
"166","LENIX OSUNA",3,1,2,2,3,0,0,0,0,0,0,1.1,13.5,2.25
"167","LEURIS GOMEZ",17,1,7,6,11,5,0,0,1,0,0,13.1,4.05,1.65
"168","LINDER CASTRO",9,0,2,2,7,1,0,1,0,2,0,7,2.57,1.43
"169","LOIGER PADRON",4,0,1,1,2,1,0,1,0,3,0,3,3,1.67
"170","LUIS ANGEL DANIEL",5,0,3,3,9,5,0,0,0,2,0,10.2,2.53,0.94
"171","LUIS AYALA",4,0,3,3,5,2,0,0,1,0,1,2.2,10.12,2.25
"172","LUIS DE LA O",5,0,3,2,4,2,0,0,0,0,0,6,3,1.17
"173","LUIS DE LUNA",3,0,2,1,5,2,0,0,0,2,0,4.1,2.08,1.15
"174","LUIS IVAN RODRIGUEZ",8,0,6,6,7,6,0,2,2,2,0,10,5.4,1.4
"175","LUIS MENDEZ",21,4,16,15,8,5,0,0,3,0,0,12.1,10.95,2.11
"176","LUIS NIEBLA",17,2,8,8,13,10,0,1,2,0,0,16,4.5,1.69
"177","LUIS PAYAN",13,1,12,9,4,7,0,0,2,0,0,8.2,9.35,2.31
"178","LUIS PEREZ",22,3,15,13,17,13,0,1,1,0,0,25,4.68,1.4
"179","MAIKEL CLETO",6,0,2,2,7,3,0,0,2,0,3,8,2.25,1.12
"180","MANNY ACOSTA",7,0,0,0,6,0,0,2,0,4,0,9.2,0,0.72
"181","MANNY BARREDA",8,1,5,5,3,4,0,0,0,0,0,3.2,12.27,3.27
"182","MANUEL AL FLORES",18,2,12,12,11,3,0,0,1,0,0,12,9,1.75
"183","MANUEL BAEZ",9,1,4,4,5,0,0,0,0,6,0,7,5.14,1.29
"184","MANUEL VALDEZ",3,0,6,6,7,5,0,0,1,5,0,5,10.8,1.6
"185","MARCO ANTONIO DUARTE",18,6,13,12,11,7,0,1,0,0,0,12,9,2.08
"186","MARCO CAMARENA",4,1,5,5,1,3,0,0,0,0,0,6,7.5,1.17
"187","MARCO CARRILLO",18,3,9,8,9,4,0,0,0,0,0,16.1,4.41,1.35
"188","MARCO MENDIVIL",5,0,1,1,0,0,0,0,0,0,0,2.1,3.86,2.14
"189","MARCO QUEVEDO",14,2,4,4,8,3,0,1,0,1,0,12.2,2.84,1.34
"190","MARCO RAMIREZ",6,0,5,5,4,4,0,1,0,0,0,4.2,9.64,2.14
"191","MARCO TOVAR",6,2,2,2,10,9,0,3,0,0,0,18.2,0.96,0.8
"192","MARCOS MACHADO",10,2,8,8,2,2,0,0,0,0,0,3.2,19.64,3.27
"193","MARCOS RIVAS",5,1,1,1,3,1,0,0,0,2,0,9,1,0.67
"194","MARIO GONZALEZ",24,2,10,8,7,2,0,1,1,0,0,17.2,4.08,1.47
"195","MARIO MEZA",4,0,3,3,1,0,0,0,0,0,0,1.2,16.2,2.4
"196","MARIO MORALES",12,2,6,6,4,4,1,0,0,4,0,10.2,5.06,1.5
"197","MARK SERRANO",4,2,2,2,5,0,0,0,0,2,0,4.2,3.86,0.86
"198","MARK SIMON",5,2,3,3,6,1,0,0,0,0,0,5,5.4,1.2
"199","MARLON ARIAS",22,2,17,17,15,16,0,0,1,0,0,19.2,7.78,1.93
"200","MARTIN SOTELO",18,3,15,14,2,4,0,0,0,1,0,6.2,18.9,3.3
"201","MAURICIO LARA",17,1,11,9,13,6,0,0,1,0,0,12,6.75,1.92
"202","MICHAELANGELO GUZMAN",7,1,6,4,1,5,0,0,1,0,0,2,18,6
"203","MIGUEL MEJIA",13,2,5,5,8,2,0,2,0,1,1,11.1,3.97,1.32
"204","MIGUEL PENA",10,1,7,6,2,5,0,0,0,0,0,9.1,5.79,1.61
"205","MITCH LAMBSON",20,1,6,5,14,6,0,3,0,0,0,24.1,1.85,1.07
"206","NATHANAEL SANTIAGO",7,0,6,6,13,5,0,0,0,3,0,8.2,6.23,1.38
"207","NESTOR MOLINA",7,0,0,0,16,4,0,3,0,0,0,20,0,0.55
"208","NICK STRUCK",8,0,1,1,9,3,0,2,1,3,0,10,0.9,1.1
"209","NICOLAS HEREDIA",10,1,7,7,9,3,0,0,0,0,0,7.2,8.22,1.7
"210","NORMAN ELENES",5,0,2,1,7,4,1,1,0,0,0,8,1.12,1.12
"211","OCTAVIO ACOSTA",27,3,13,12,26,7,0,1,0,0,0,31,3.48,1.1
"212","ORLANDO LARA",14,3,7,7,13,3,0,1,1,0,0,15,4.2,1.13
"213","OSCAR FELIX",4,1,6,6,4,3,0,0,0,1,0,3.2,14.73,1.91
"214","OSCAR HURTADO",16,0,15,15,8,14,0,0,0,3,0,9.2,13.97,3.1
"215","OSCAR VERDUGO",22,4,15,15,11,4,0,0,1,0,0,15,9,1.73
"216","OSWALDO MARTINEZ",6,1,2,2,2,4,0,1,0,0,0,5.2,3.18,1.76
"217","OZZIE MENDEZ",5,0,3,2,5,3,0,0,0,2,0,4.2,3.86,1.71
"218","PABLO ORTEGA",6,4,4,4,6,0,0,0,0,0,0,2,18,3
"219","PATRICK JOHNSON",9,0,4,3,6,2,0,1,1,0,0,10,2.7,1.1
"220","PATRICK MCCOY",4,0,0,0,4,0,0,0,0,3,0,6,0,0.67
"221","PAUL CLEMENS",5,1,2,2,5,3,0,0,0,0,0,8,2.25,1
"222","PAUL PAEZ",3,0,5,5,1,4,0,0,0,0,0,2,22.5,3.5
"223","PEDRO RODRIGUEZ",3,0,0,0,4,2,0,0,0,0,5,7.2,0,0.65
"224","PEDRO VILLARREAL",3,1,2,2,2,0,0,0,0,1,0,6.1,2.84,0.47
"225","PHIL COKE",8,0,4,4,15,1,0,2,1,0,0,16,2.25,0.56
"226","RAFAEL DIAZ",9,3,5,5,9,3,0,0,0,0,0,10.1,4.35,1.16
"227","RAFAEL MARTIN",4,1,1,1,12,0,0,0,1,0,5,8.1,1.08,0.48
"228","RAFAEL PINEDA",15,0,7,7,9,6,0,0,0,0,0,13,4.85,1.62
"229","RAUL BARRON",10,0,4,4,6,1,0,0,0,0,3,6,6,1.83
"230","RAUL CARRILLO",23,4,12,11,11,5,0,1,1,0,0,15.2,6.32,1.79
"231","RAUL VALDES",10,2,4,4,10,3,0,2,0,0,0,10.1,3.48,1.26
"232","REFUGIO MARIN",5,0,2,2,0,4,0,0,0,0,0,2.1,7.71,3.86
"233","REINIER ROIBAL",17,0,10,10,12,5,0,0,2,1,0,11.2,7.71,1.89
"234","RENE COSS",4,0,5,5,1,3,0,0,0,0,0,2,22.5,3.5
"235","RICARDO JACQUEZ",6,0,2,2,3,2,1,0,1,0,0,3,6,2.67
"236","RICARDO RIVERO",5,0,1,1,1,2,0,0,0,1,0,2.1,3.86,3
"237","ROBERT GARCIA",13,1,7,6,9,7,1,1,0,0,0,10.1,5.23,1.94
"238","ROBERTO ESPINOSA",5,2,4,4,4,2,0,1,1,1,0,4,9,1.75
"239","ROBINSON LOPEZ",16,1,9,9,4,8,1,0,1,0,0,13.2,5.93,1.76
"240","RODOLFO AGUILAR",7,0,6,6,3,2,0,0,0,0,0,4.2,11.57,1.93
"241","RODOLFO AGUIRRE",18,3,12,12,6,7,0,1,0,0,0,9.2,11.17,2.59
"242","RODRIGO VALENZUELA",16,0,7,5,9,1,0,0,0,0,0,7.2,5.87,2.22
"243","ROGELIO BERNAL",14,0,5,3,9,8,0,2,0,0,0,16,1.69,1.38
"244","ROGELIO MARTINEZ",6,0,4,3,4,3,0,0,0,0,0,6.2,4.05,1.35
"245","ROLANDO VALDEZ",25,2,10,9,9,0,0,2,1,0,0,18.2,4.34,1.34
"246","ROMAN PENA",5,0,0,0,1,2,0,0,0,0,0,6.2,0,1.05
"247","ROMARIO GIL",10,0,7,5,17,6,0,1,0,0,0,12.2,3.55,1.26
"248","RONALD BELISARIO",6,0,2,0,11,1,0,2,0,0,4,11,0,0.64
"249","ROY MERRITT",18,1,7,7,8,4,0,0,0,0,0,14.1,4.4,1.53
"250","RUBEN VICENTE",10,1,2,1,4,3,0,0,0,0,0,8.2,1.04,1.5
"251","RUDDY ACOSTA",19,2,13,11,12,6,0,1,1,0,0,20,4.95,1.25
"252","RYAN PEREZ",16,4,12,11,6,10,0,0,2,0,0,10.1,9.58,2.52
"253","SALVADOR VALDEZ",17,1,10,10,5,6,0,1,0,0,0,15,6,1.53
"254","SAMUEL ZAZUETA",5,0,6,6,5,7,2,0,1,0,1,5,10.8,2.4
"255","SANTIAGO GUTIERREZ",4,0,3,3,7,3,0,0,0,5,0,7.1,3.68,0.95
"256","SASAGI SANCHEZ",15,1,4,2,10,2,0,2,0,1,0,13,1.38,1.31
"257","SERGIO ALVARADO",6,2,2,2,3,4,0,0,0,0,0,6.1,2.84,1.58
"258","SERGIO MITRE",1,0,0,0,1,0,0,0,0,0,0,1,0,1
"259","SERGIO SIERRA",12,3,11,10,8,9,0,0,1,0,0,5.2,15.88,3.71
"260","TERANCE MARIN",20,1,9,7,9,0,0,1,0,0,0,16.1,3.86,1.22
"261","THOMAS MELGAREJO",6,1,1,1,5,2,0,0,0,1,0,5.2,1.59,1.41
"262","TIAGO DA SILVA",24,0,12,7,23,4,0,2,1,0,0,18.2,3.38,1.5
"263","TOMAS SOLIS",14,0,9,7,4,6,0,0,0,0,0,12.1,5.11,1.62
"264","TONY CORDOVA",5,1,1,1,2,1,0,0,1,0,0,1,9,6
"265","TONY GUERRA",2,0,0,0,4,5,0,0,0,2,0,7,0,1
"266","TYLER KANE",30,6,17,14,8,11,0,1,3,0,0,27.2,4.55,1.48
"267","ULISES JOAQUIN",21,3,17,17,4,4,0,0,3,2,0,8.2,17.65,2.88
"268","ULISES LOPEZ",3,0,5,5,3,4,0,0,2,0,0,3.2,12.27,1.91
"269","VICTOR ESPINOSA",12,3,10,8,12,12,1,0,3,0,0,15,4.8,1.6
"270","WES TORREZ",17,0,7,6,10,9,0,0,0,0,0,12.2,4.26,2.05
"271","WILMER RIOS",13,0,4,4,4,3,0,0,0,0,0,11.1,3.18,1.41
"272","WIRFIN OBISPO",12,1,3,3,13,1,0,0,0,0,4,9,3,1.44
"273","YOANNER NEGRIN",21,3,9,9,4,3,0,1,0,0,0,17.2,4.58,1.36
"274","YOHAN FLANDE",36,0,14,13,12,4,1,1,0,0,0,27.1,4.28,1.46
"275","YOSSHEL HURTADO",9,0,2,2,6,4,0,2,0,0,0,8.1,2.16,1.56
"276","ZACH PHILLIPS",11,0,9,6,6,2,0,0,2,2,0,5.2,9.53,2.29
