"","i","team_records_team_name","LAR Rank","LAR Pct"
"53","2024-06-04","Tecos de los Dos Laredos","3",".581"
"54","2024-06-05","Tecos de los Dos Laredos","3",".568"
"55","2024-06-06","Tecos de los Dos Laredos","3",".578"
"56","2024-06-07","Tecos de los Dos Laredos","4",".565"
"57","2024-06-08","Tecos de los Dos Laredos","3",".574"
"58","2024-06-09","Tecos de los Dos Laredos","4",".563"
"59","2024-06-10","Tecos de los Dos Laredos","4",".563"
"60","2024-06-11","Tecos de los Dos Laredos","4",".551"
"61","2024-06-12","Tecos de los Dos Laredos","4",".560"
"62","2024-06-13","Tecos de los Dos Laredos","4",".569"
"63","2024-06-14","Tecos de los Dos Laredos","4",".558"
"64","2024-06-15","Tecos de los Dos Laredos","4",".566"
"65","2024-06-16","Tecos de los Dos Laredos","4",".556"
"66","2024-06-17","Tecos de los Dos Laredos","4",".556"
"67","2024-06-18","Tecos de los Dos Laredos","4",".564"
"68","2024-06-19","Tecos de los Dos Laredos","4",".564"
"69","2024-06-20","Tecos de los Dos Laredos","3",".579"
"70","2024-06-21","Tecos de los Dos Laredos","4",".569"
"71","2024-06-22","Tecos de los Dos Laredos","3",".576"
"72","2024-06-23","Tecos de los Dos Laredos","3",".583"
"73","2024-06-24","Tecos de los Dos Laredos","3",".583"
"74","2024-06-25","Tecos de los Dos Laredos","3",".574"
"75","2024-06-26","Tecos de los Dos Laredos","3",".565"
"76","2024-06-27","Tecos de los Dos Laredos","3",".571"
"77","2024-06-28","Tecos de los Dos Laredos","3",".578"
"78","2024-06-29","Tecos de los Dos Laredos","3",".585"
"79","2024-06-30","Tecos de los Dos Laredos","3",".591"
"80","2024-07-01","Tecos de los Dos Laredos","3",".591"
"81","2024-07-02","Tecos de los Dos Laredos","3",".597"
"82","2024-07-03","Tecos de los Dos Laredos","3",".588"
"83","2024-07-04","Tecos de los Dos Laredos","3",".580"
"84","2024-07-05","Tecos de los Dos Laredos","3",".580"
"85","2024-07-06","Tecos de los Dos Laredos","4",".577"
"86","2024-07-07","Tecos de los Dos Laredos","4",".569"
"87","2024-07-08","Tecos de los Dos Laredos","4",".569"
"88","2024-07-09","Tecos de los Dos Laredos","4",".575"
"89","2024-07-10","Tecos de los Dos Laredos","3",".581"
"90","2024-07-11","Tecos de los Dos Laredos","3",".587"
"91","2024-07-12","Tecos de los Dos Laredos","3",".579"
"92","2024-07-13","Tecos de los Dos Laredos","2",".584"
"93","2024-07-14","Tecos de los Dos Laredos","2",".577"
"94","2024-07-15","Tecos de los Dos Laredos","2",".577"
"95","2024-07-16","Tecos de los Dos Laredos","3",".570"
"96","2024-07-17","Tecos de los Dos Laredos","2",".575"
"97","2024-07-18","Tecos de los Dos Laredos","3",".568"
"98","2024-07-19","Tecos de los Dos Laredos","2",".573"
"99","2024-07-20","Tecos de los Dos Laredos","2",".578"
"100","2024-07-21","Tecos de los Dos Laredos","2",".583"
"101","2024-07-22","Tecos de los Dos Laredos","2",".583"
"102","2024-07-23","Tecos de los Dos Laredos","1",".588"
"103","2024-07-24","Tecos de los Dos Laredos","1",".588"
