Name,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Nate Freiman,30,244,15.20%,15.60%,0.97,0.298,0.418,0.48,0.898,0.182,2.4,0.329,0.3,43,11.3,0.406,135
Julio Borbon,31,389,8.50%,10.30%,0.83,0.365,0.426,0.469,0.895,0.104,6.4,0.399,1.3,69,18,0.405,135
Jairo Perez,29,375,5.60%,10.90%,0.51,0.336,0.388,0.518,0.905,0.181,4.4,0.349,1,66,17.2,0.405,135
Tim Torres,33,179,17.90%,22.90%,0.78,0.305,0.424,0.468,0.892,0.163,4.6,0.384,1.2,31,8,0.404,134
Jorge Vazquez,35,138,15.90%,21.00%,0.76,0.281,0.399,0.518,0.916,0.237,0.9,0.308,0.1,24,6.1,0.403,134
Jordany Valdespin,29,308,11.40%,11.00%,1.03,0.332,0.418,0.457,0.875,0.125,6.6,0.368,0.2,53,12.8,0.4,132
Jose Vargas,29,314,7.00%,27.40%,0.26,0.29,0.34,0.584,0.924,0.294,4.2,0.333,-2.2,54,12.9,0.399,131
Welington Dotel,31,335,6.90%,18.80%,0.37,0.333,0.383,0.513,0.896,0.18,7.6,0.396,-2.7,57,13.6,0.399,131
Sandy Madera,36,386,12.20%,7.50%,1.62,0.322,0.407,0.472,0.878,0.149,2.6,0.331,0.1,66,15.6,0.399,131
Diego Madero,25,297,5.40%,12.10%,0.44,0.342,0.387,0.493,0.88,0.151,5.8,0.381,0.5,50,11.4,0.396,129
Jose Guadalupe Chavez,32,376,17.00%,12.80%,1.33,0.308,0.435,0.393,0.828,0.085,3.6,0.357,0.3,63,14.2,0.396,129
Norberto Susini,28,130,18.50%,24.60%,0.75,0.267,0.408,0.465,0.873,0.198,2.8,0.338,0.3,22,4.9,0.395,129
Jaime Pedroza,30,183,16.40%,21.30%,0.77,0.306,0.425,0.435,0.861,0.129,2.9,0.393,-0.4,31,6.9,0.395,129
Jesus Fabela,22,323,10.20%,10.20%,1,0.314,0.396,0.471,0.866,0.157,5.2,0.331,0.4,54,11.9,0.394,128
Jose Augusto Figueroa,24,123,3.30%,21.10%,0.15,0.35,0.377,0.487,0.864,0.137,5.4,0.444,-0.6,20,4,0.389,125
Carlos Rodriguez,35,391,7.70%,24.60%,0.31,0.309,0.364,0.514,0.878,0.205,3.4,0.385,0.6,64,12.6,0.389,125
Olmo Rosario,36,184,8.20%,9.20%,0.88,0.321,0.379,0.479,0.858,0.158,2.4,0.333,-2.2,30,5.9,0.388,124
Carlos Mendivil,23,163,8.60%,15.30%,0.56,0.318,0.374,0.493,0.867,0.176,2.8,0.364,-0.1,26,5,0.387,123
Jaime Brena,36,325,10.80%,9.50%,1.13,0.325,0.42,0.395,0.814,0.07,2.5,0.363,0.4,52,9.5,0.385,122
Manny Rodriguez,34,448,9.20%,12.50%,0.73,0.313,0.373,0.487,0.86,0.174,4.7,0.33,2.4,71,12.1,0.383,121
Amadeo Zazueta,31,432,4.90%,9.70%,0.5,0.341,0.372,0.481,0.854,0.141,4.4,0.361,0.2,68,11.6,0.382,120
Frank Diaz,33,450,8.40%,13.60%,0.62,0.305,0.367,0.48,0.847,0.175,3.9,0.331,0.8,70,11.1,0.38,119
Jeremias Pineda,26,115,9.60%,20.00%,0.48,0.343,0.417,0.392,0.81,0.049,8.3,0.443,4.7,18,2.8,0.38,119
Endy Chavez,39,430,7.90%,7.20%,1.1,0.343,0.397,0.429,0.826,0.086,2.1,0.362,-1.6,67,10.3,0.379,118
Brad Snyder,35,262,11.80%,25.20%,0.47,0.268,0.355,0.5,0.855,0.232,1.6,0.322,-0.2,41,6.3,0.379,118
Ivan Terrazas,33,349,5.70%,12.90%,0.44,0.332,0.376,0.466,0.842,0.134,2.2,0.374,0.1,54,8.3,0.379,118
Francisco Lugo,25,397,4.50%,11.10%,0.41,0.342,0.379,0.449,0.829,0.107,4.6,0.371,0.7,61,9.2,0.378,118
Balbino Fuenmayor,27,367,7.10%,14.20%,0.5,0.302,0.357,0.491,0.848,0.189,1.6,0.316,0.4,56,8.5,0.378,118
Felix Perez,32,117,7.70%,18.80%,0.41,0.284,0.359,0.5,0.859,0.216,4.3,0.303,-0.3,18,2.5,0.376,116
Dustin Martin,33,472,17.20%,23.10%,0.74,0.258,0.389,0.449,0.838,0.191,4.5,0.317,-0.2,71,9.7,0.375,116
Yosmany Guerra,34,475,9.10%,11.40%,0.8,0.308,0.376,0.451,0.827,0.143,4.8,0.344,-1.9,72,9.4,0.374,115
Jose Amador,37,361,12.50%,15.20%,0.82,0.279,0.382,0.43,0.812,0.151,2.4,0.309,0.6,54,7.1,0.374,115
C.J. Retherford,31,432,8.30%,19.70%,0.42,0.296,0.37,0.463,0.833,0.167,3,0.344,0.3,65,8.5,0.374,115
Matt Clark,30,445,10.60%,23.80%,0.44,0.277,0.355,0.495,0.85,0.218,1.4,0.327,-0.1,67,8.7,0.374,115
Luis Juarez,27,457,5.90%,8.30%,0.71,0.312,0.357,0.475,0.832,0.163,3.8,0.316,0.1,69,8.8,0.374,115
Willy Taveras,35,483,5.60%,18.00%,0.31,0.304,0.369,0.455,0.824,0.151,7.5,0.355,2.4,72,9.1,0.373,114
Jonathan Aceves,39,328,10.40%,17.40%,0.6,0.279,0.36,0.467,0.827,0.188,2,0.307,0.1,49,5.8,0.372,114
Ricky Alvarez,28,467,3.40%,11.80%,0.29,0.311,0.343,0.502,0.846,0.191,4.8,0.32,0.6,69,8.2,0.371,113
Diory Hernandez,33,171,7.00%,16.40%,0.43,0.301,0.351,0.487,0.838,0.186,6.1,0.336,0.4,25,2.9,0.371,113
Jorge Cantu,35,398,11.30%,21.60%,0.52,0.282,0.37,0.452,0.822,0.17,3.6,0.339,0.8,59,6.7,0.371,113
Gilberto Mejia,34,191,11.50%,12.00%,0.96,0.308,0.393,0.41,0.804,0.103,7.8,0.348,-0.3,28,3.2,0.371,113
Christian Marrero,30,193,11.90%,15.50%,0.77,0.255,0.373,0.441,0.814,0.186,2.6,0.272,-0.3,28,3.2,0.37,113
Humberto Castro,26,276,7.20%,9.10%,0.8,0.316,0.393,0.398,0.79,0.082,3.6,0.343,0,41,4.6,0.37,113
Antonio Lamas,27,327,7.30%,7.00%,1.04,0.322,0.375,0.444,0.819,0.122,5.4,0.331,-0.4,48,5.4,0.37,113
Cristhian Presichi,36,436,8.30%,8.90%,0.92,0.327,0.382,0.425,0.807,0.098,4.5,0.349,-0.5,64,7,0.37,112
Cesar Tapia,34,385,9.60%,10.60%,0.9,0.299,0.369,0.456,0.824,0.157,4.3,0.306,2,56,6.1,0.369,112
Dave Sappelt,30,439,10.50%,13.00%,0.81,0.282,0.363,0.451,0.814,0.168,4.4,0.302,0.1,64,6.6,0.368,111
Niko Vasquez,28,272,8.10%,21.70%,0.37,0.289,0.359,0.46,0.82,0.172,4.7,0.345,0.5,39,3.9,0.367,111
Domingo Castro,37,168,7.70%,9.50%,0.81,0.329,0.398,0.376,0.773,0.047,3.3,0.364,0.4,24,2.3,0.367,110
Ricky Rodriguez,24,414,7.20%,27.30%,0.27,0.304,0.363,0.449,0.812,0.145,4.1,0.405,-0.8,60,5.6,0.367,110
Roberto Lopez,31,311,9.00%,17.70%,0.51,0.292,0.362,0.448,0.81,0.155,3.6,0.33,-0.7,45,4.1,0.366,110
Jose Ruiz,32,445,6.50%,17.30%,0.38,0.302,0.351,0.474,0.825,0.173,4.2,0.335,1,64,5.8,0.366,110
Leo Heras,27,408,11.30%,18.40%,0.61,0.293,0.373,0.434,0.807,0.141,7.4,0.359,-0.1,58,4.9,0.365,109
Emmanuel Avila,28,402,5.00%,8.70%,0.57,0.318,0.359,0.456,0.815,0.137,2.5,0.331,-0.1,57,4.5,0.364,109
Said Gutierrez,37,206,4.40%,14.10%,0.31,0.316,0.36,0.439,0.798,0.123,0.7,0.344,0.2,29,2.2,0.363,108
Eliseo Aldazaba,26,374,11.80%,19.30%,0.61,0.252,0.349,0.462,0.811,0.211,4.8,0.285,-0.6,53,3.7,0.362,108
Anderson Hernandez,34,482,7.50%,12.40%,0.6,0.309,0.359,0.449,0.808,0.14,6.7,0.347,0.9,68,4.7,0.362,107
Jesus Rivera,39,297,7.40%,9.10%,0.81,0.321,0.378,0.418,0.795,0.097,2.4,0.35,0.2,42,2.9,0.362,107
Eduardo Arredondo,32,302,6.60%,7.30%,0.91,0.319,0.364,0.43,0.794,0.111,3.8,0.329,-2.7,42,2.8,0.362,107
Issmael Salas,34,428,9.10%,8.60%,1.05,0.29,0.365,0.415,0.78,0.125,3,0.299,0.6,59,2.9,0.359,105
Jose Aguilar,27,266,6.00%,16.90%,0.36,0.291,0.351,0.436,0.787,0.145,5.2,0.335,1.3,37,1.7,0.358,105
Alan Sanchez,28,410,6.80%,14.10%,0.48,0.318,0.367,0.422,0.79,0.104,4.6,0.365,-1.2,56,2.5,0.358,105
Jose Martinez,27,385,6.20%,24.40%,0.26,0.285,0.336,0.462,0.797,0.177,3.6,0.364,-0.2,52,1.9,0.356,104
Jose Carlos Urena,22,288,10.80%,28.10%,0.38,0.272,0.354,0.44,0.794,0.168,1,0.356,0.3,39,1.4,0.356,104
Ramon R Ramirez,26,262,4.60%,22.90%,0.2,0.298,0.336,0.462,0.798,0.164,3.1,0.372,-0.6,36,1.2,0.356,104
Alejandro Gonzalez,31,398,7.50%,22.90%,0.33,0.286,0.352,0.442,0.794,0.156,5.3,0.36,0,54,1.7,0.356,103
Juan Apodaca,30,332,10.50%,19.00%,0.56,0.289,0.367,0.399,0.765,0.11,2.8,0.348,0.4,45,1.3,0.355,103
Ramon Rios,29,455,4.80%,7.00%,0.69,0.317,0.358,0.418,0.775,0.1,2.4,0.329,0.5,61,1.7,0.355,103
Julian Castro,28,190,4.70%,12.10%,0.39,0.306,0.341,0.445,0.786,0.139,5.2,0.336,0,26,0.7,0.355,103
Paul Leon,28,376,8.00%,17.80%,0.45,0.281,0.344,0.442,0.786,0.161,2.3,0.317,0.5,51,1.3,0.355,103
Brian Hernandez,28,403,7.70%,14.10%,0.54,0.301,0.36,0.412,0.772,0.11,2.3,0.341,-0.3,54,1.1,0.354,102
Agustin Murillo,35,239,11.70%,9.60%,1.22,0.287,0.37,0.397,0.767,0.11,3.3,0.302,-0.6,32,0.6,0.354,102
Juan Francisco,30,173,5.20%,25.40%,0.2,0.277,0.329,0.465,0.795,0.189,1,0.339,0.1,23,0.4,0.353,102
Ronnier Mustelier,32,198,8.60%,8.60%,1,0.318,0.379,0.385,0.764,0.067,5.1,0.346,0.8,26,0.4,0.353,102
Robert Vasquez,30,165,10.90%,26.10%,0.42,0.284,0.372,0.39,0.762,0.106,6.1,0.388,-0.7,22,0.3,0.353,101
J.C. Linares,32,158,13.90%,11.40%,1.22,0.246,0.357,0.425,0.782,0.179,3.6,0.245,-0.1,21,0.2,0.352,101
Carlos Figueroa,25,436,7.10%,13.30%,0.53,0.324,0.375,0.38,0.755,0.056,7.6,0.377,4.1,57,0.2,0.351,100
Yancarlo Angulo,30,314,11.10%,13.40%,0.83,0.264,0.364,0.389,0.752,0.125,5.1,0.303,0.2,41,0,0.35,100
Yordanys Linares,28,302,4.30%,12.60%,0.34,0.307,0.351,0.421,0.773,0.114,8.2,0.353,-2.5,39,-0.1,0.35,100
Alberto Carreon,29,453,5.10%,11.50%,0.44,0.317,0.357,0.408,0.765,0.091,5.3,0.347,-1.3,59,-0.3,0.35,99
Mario Valenzuela,40,356,11.80%,20.80%,0.57,0.263,0.354,0.409,0.763,0.146,2.3,0.316,-0.4,46,-0.4,0.349,99
Alex Romero,33,321,6.50%,5.90%,1.11,0.329,0.378,0.374,0.751,0.045,3.3,0.344,-0.4,41,-0.5,0.348,99
Rodolfo Amador,24,148,2.00%,5.40%,0.38,0.317,0.342,0.432,0.774,0.115,3.8,0.318,-0.6,19,-0.3,0.348,98
Carlos Lopez,27,426,10.10%,14.60%,0.69,0.312,0.38,0.368,0.748,0.056,2.9,0.367,-1.1,55,-1.1,0.348,98
Alex Valdez,32,406,12.80%,15.00%,0.85,0.262,0.352,0.427,0.78,0.166,3.6,0.276,-0.1,52,-1.2,0.347,98
Alfredo Marte,28,177,8.50%,18.60%,0.45,0.263,0.345,0.417,0.761,0.154,6.1,0.297,0.7,23,-0.5,0.347,98
Julian Ornelas,20,127,10.20%,23.60%,0.43,0.295,0.37,0.375,0.745,0.08,3.9,0.398,-0.1,16,-0.5,0.346,97
Jonathan Jones,27,271,10.30%,17.70%,0.58,0.245,0.342,0.412,0.754,0.167,6.2,0.275,-1.1,34,-1.2,0.345,97
Henry Alejandro Rodriguez,27,453,6.60%,13.90%,0.48,0.29,0.342,0.425,0.767,0.135,4,0.319,0.8,57,-2.1,0.345,96
Miguel Torrero,33,351,5.10%,7.70%,0.67,0.317,0.362,0.385,0.747,0.068,4.2,0.339,0.7,44,-1.8,0.345,96
Alejandro Flores,21,326,7.40%,27.60%,0.27,0.269,0.329,0.435,0.765,0.167,4,0.36,-0.7,41,-1.8,0.344,96
Raymundo Torres,23,264,13.30%,23.90%,0.56,0.258,0.356,0.378,0.734,0.12,1.9,0.335,-0.6,33,-1.5,0.344,96
Oscar Robles,41,164,14.60%,6.70%,2.18,0.292,0.395,0.328,0.724,0.036,2.5,0.315,-1,21,-1,0.344,96
Santiago Gonzalez,33,296,3.40%,11.80%,0.29,0.306,0.341,0.414,0.755,0.108,4,0.339,-0.3,37,-2,0.343,95
Ivan Araujo,33,291,5.80%,16.20%,0.36,0.306,0.36,0.374,0.733,0.068,4.9,0.367,1.1,36,-1.9,0.343,95
Alberto Callaspo,34,244,8.60%,11.10%,0.78,0.301,0.365,0.379,0.744,0.078,2.2,0.33,-0.5,30,-1.7,0.342,95
Jose Manuel Orozco,26,312,9.30%,23.70%,0.39,0.27,0.345,0.414,0.759,0.144,4.6,0.345,0.1,39,-2.3,0.342,94
Ivan Jimenez,24,248,10.50%,19.00%,0.55,0.271,0.365,0.352,0.718,0.081,5.8,0.346,0.7,31,-1.9,0.341,94
Moises Gutierrez,22,181,7.20%,21.50%,0.33,0.278,0.333,0.424,0.757,0.146,3.2,0.325,0.2,22,-1.6,0.34,93
Sergio Perez,27,261,8.40%,14.90%,0.56,0.289,0.355,0.37,0.725,0.081,6.5,0.347,1.2,32,-2.5,0.339,93
Alfredo Amezaga,39,352,8.80%,14.50%,0.61,0.282,0.357,0.362,0.72,0.081,2.8,0.325,-0.9,43,-3.4,0.339,93
Sergio Burruel,25,263,9.90%,12.50%,0.79,0.293,0.367,0.358,0.725,0.066,1.4,0.335,-1.1,32,-2.6,0.339,93
Juan Martinez,30,423,6.90%,17.30%,0.4,0.278,0.329,0.423,0.752,0.144,3.6,0.318,-0.8,51,-4.2,0.339,93
Edson Garcia,24,292,6.20%,13.00%,0.47,0.263,0.333,0.408,0.741,0.145,5.6,0.289,-0.6,35,-2.9,0.339,92
Luis Borges,36,387,5.20%,7.50%,0.69,0.32,0.354,0.382,0.737,0.062,1.9,0.345,-0.3,47,-3.9,0.339,92
Leandro Castro,28,435,6.70%,12.60%,0.53,0.256,0.311,0.462,0.773,0.206,5,0.252,-1.4,53,-4.4,0.338,92
Freddy Guzman,36,198,15.70%,15.20%,1.03,0.262,0.376,0.323,0.699,0.061,8.6,0.316,1.7,24,-2.1,0.338,92
Cole Gillespie,33,225,9.80%,18.20%,0.54,0.283,0.353,0.384,0.737,0.101,4.7,0.342,0.3,27,-2.4,0.338,92
Fabricio Macias,19,185,5.40%,16.20%,0.33,0.318,0.351,0.382,0.733,0.064,8.6,0.379,0.6,22,-2.1,0.337,92
Leo German,24,395,5.10%,19.00%,0.27,0.314,0.358,0.364,0.723,0.05,5.8,0.394,1.1,47,-4.6,0.337,91
Rolando Acosta,34,203,5.40%,14.30%,0.38,0.276,0.34,0.387,0.727,0.11,1.6,0.309,-1,24,-2.3,0.337,91
Eliezer Ortiz,29,363,3.90%,17.10%,0.23,0.3,0.337,0.398,0.735,0.098,5.7,0.358,1.2,43,-4.4,0.336,91
Luis Mauricio Suarez,38,317,11.40%,12.00%,0.95,0.276,0.366,0.364,0.73,0.087,3.8,0.312,0.5,38,-3.9,0.336,91
Rene Reyes,39,166,10.80%,22.90%,0.47,0.243,0.335,0.389,0.724,0.146,1.5,0.29,-0.3,20,-2,0.336,91
Deibinson Romero,30,298,10.40%,14.10%,0.74,0.268,0.352,0.37,0.722,0.101,1.7,0.294,0.1,35,-3.7,0.336,91
Ismael Martinez,24,121,9.10%,25.60%,0.35,0.259,0.339,0.426,0.765,0.167,4,0.347,0.1,14,-1.6,0.335,90
Alan Espinoza,26,288,5.20%,18.10%,0.29,0.277,0.323,0.419,0.742,0.142,3.3,0.313,0.5,34,-3.9,0.335,90
Osniel Madera,31,129,3.90%,9.30%,0.42,0.283,0.31,0.45,0.76,0.167,4.7,0.286,0.2,15,-1.8,0.334,90
Maxwell Leon,33,375,6.70%,20.00%,0.33,0.269,0.333,0.403,0.736,0.134,5.3,0.324,0.6,44,-5.3,0.334,89
Adan Munoz,39,331,7.30%,18.10%,0.4,0.264,0.323,0.422,0.746,0.158,2.2,0.29,0.5,38,-4.9,0.333,89
Carlos Alberto Gastelum,37,344,6.70%,8.10%,0.82,0.291,0.355,0.351,0.706,0.06,3.5,0.316,-0.4,40,-5.1,0.333,89
Barbaro Canizares,37,148,16.90%,12.80%,1.32,0.244,0.378,0.303,0.681,0.059,1.3,0.277,0.2,17,-2.2,0.333,89
Sergio Gastelum,38,169,11.20%,8.90%,1.27,0.273,0.359,0.357,0.716,0.084,1.4,0.292,-0.7,19,-2.6,0.332,88
Abel Martinez,40,181,7.70%,14.90%,0.52,0.288,0.348,0.363,0.711,0.075,1.9,0.331,-0.7,21,-2.9,0.332,88
Alex Liddi,28,454,11.20%,25.30%,0.44,0.235,0.325,0.399,0.723,0.164,5.6,0.285,2,52,-7.3,0.332,88
Carlos Alvarez,29,249,10.00%,15.70%,0.64,0.257,0.35,0.35,0.7,0.093,5.5,0.309,0.5,28,-4.4,0.33,87
Richy Pedroza,25,377,12.70%,13.00%,0.98,0.254,0.358,0.326,0.684,0.072,4.4,0.292,0.5,42,-7,0.329,86
Roberto Valencia,28,113,6.20%,11.50%,0.54,0.27,0.33,0.39,0.72,0.12,3.6,0.294,0.3,13,-2.1,0.328,86
Ruben Rivera,43,233,9.90%,18.90%,0.52,0.248,0.326,0.398,0.724,0.15,5.1,0.28,0.7,26,-4.4,0.328,86
Roberto Valenzuela,22,152,9.20%,6.60%,1.4,0.271,0.347,0.349,0.696,0.078,4.2,0.283,-0.3,17,-3,0.327,85
Adrian Gutierrez,26,122,5.70%,12.30%,0.47,0.257,0.306,0.416,0.722,0.159,1.6,0.274,-0.4,13,-2.5,0.326,84
Isaac Rodriguez Salazar,26,323,8.70%,12.40%,0.7,0.271,0.345,0.346,0.691,0.075,5.8,0.304,1.3,36,-6.8,0.326,84
Brandon Villarreal,22,223,8.50%,16.10%,0.53,0.276,0.341,0.357,0.698,0.082,4.4,0.319,-0.7,24,-4.7,0.326,84
Ethan Chapman,27,347,8.60%,23.90%,0.36,0.277,0.344,0.363,0.707,0.087,5.6,0.355,-1.2,38,-7.5,0.325,84
Sergio Contreras,37,339,6.80%,10.60%,0.64,0.283,0.344,0.345,0.69,0.063,3.2,0.312,-0.5,37,-7.5,0.324,83
Engel Beltre,27,319,6.00%,14.40%,0.41,0.268,0.329,0.373,0.702,0.105,5.8,0.302,0.5,35,-7.1,0.324,83
Erick Rodriguez,37,261,6.50%,8.40%,0.77,0.3,0.346,0.338,0.684,0.038,2.1,0.327,-0.4,28,-6.2,0.322,82
Carlos Colmenares,31,152,8.60%,13.80%,0.62,0.27,0.333,0.365,0.698,0.095,4.4,0.313,-0.7,16,-4,0.319,80
Hector Hernandez,34,225,8.00%,10.20%,0.78,0.284,0.342,0.338,0.681,0.055,2.2,0.313,0,23,-6.1,0.319,79
Fernando Flores,25,393,4.60%,14.20%,0.32,0.286,0.314,0.398,0.713,0.113,2.1,0.32,-1.5,41,-10.7,0.318,79
Brandon Macias,28,246,9.80%,25.20%,0.39,0.228,0.311,0.386,0.698,0.158,2.4,0.274,-0.3,25,-6.7,0.318,79
Sergio Garcia,26,279,2.90%,21.10%,0.14,0.257,0.286,0.432,0.718,0.175,5.3,0.295,-1.2,29,-8,0.317,78
Rogelio Noris,28,249,4.00%,19.70%,0.2,0.261,0.297,0.409,0.705,0.148,3.1,0.295,-0.3,25,-7.2,0.316,78
Gerson Manzanillo,31,270,5.20%,13.30%,0.39,0.276,0.325,0.36,0.685,0.084,7,0.319,0.6,27,-7.9,0.316,78
Eduardo Revilla,24,152,3.90%,22.40%,0.18,0.277,0.315,0.369,0.684,0.092,1.6,0.352,0.1,15,-4.5,0.315,77
Jesus Alberto Vega,35,164,7.30%,22.00%,0.33,0.229,0.304,0.382,0.686,0.153,1.2,0.269,0.1,17,-5,0.315,77
Carlos Valencia,37,177,6.80%,18.10%,0.38,0.255,0.313,0.376,0.688,0.121,2,0.282,-0.3,18,-5.4,0.314,77
Jon Del Campo,29,220,5.90%,16.40%,0.36,0.284,0.327,0.368,0.695,0.083,6.4,0.333,0.5,22,-6.8,0.314,77
Greg Golson,31,114,10.50%,22.80%,0.46,0.26,0.351,0.3,0.651,0.04,3.9,0.351,-0.3,11,-3.6,0.313,76
Omar Renteria,27,147,7.50%,22.40%,0.33,0.262,0.329,0.333,0.662,0.071,3.2,0.337,-0.8,14,-4.8,0.312,75
Ricardo Serrano,31,272,7.40%,19.10%,0.38,0.263,0.319,0.352,0.671,0.089,3,0.32,-2.3,27,-9,0.311,75
Chris Valencia,30,126,2.40%,19.80%,0.12,0.289,0.317,0.364,0.681,0.074,4.9,0.358,0.1,12,-4.2,0.311,74
Samar Leyva,22,406,3.40%,12.30%,0.28,0.279,0.319,0.349,0.668,0.07,4.6,0.316,-0.6,39,-13.9,0.31,74
Daniel Nunez,35,398,10.60%,13.60%,0.78,0.254,0.347,0.287,0.633,0.032,3.8,0.301,-1.6,38,-13.6,0.31,74
Valentin Gamez,34,141,12.10%,14.90%,0.81,0.248,0.353,0.291,0.644,0.043,1.7,0.295,0.2,14,-4.8,0.31,74
Jerome Pena,28,120,15.80%,42.50%,0.37,0.172,0.303,0.364,0.666,0.192,3.3,0.273,-0.2,12,-4.1,0.309,74
Heber Gomez,39,156,7.70%,14.10%,0.55,0.271,0.333,0.314,0.648,0.043,3.8,0.322,0.4,15,-5.5,0.308,73
Christian Zazueta,32,454,2.00%,15.20%,0.13,0.275,0.301,0.368,0.669,0.093,6.4,0.314,0.4,42,-17.8,0.304,70
Javier Salazar,20,428,8.40%,15.70%,0.54,0.256,0.319,0.326,0.646,0.07,7,0.309,0.4,39,-17.4,0.302,69
Enrique Osorio,32,350,6.00%,13.70%,0.44,0.268,0.321,0.325,0.646,0.057,4,0.31,0.4,31,-14.4,0.302,69
Gilberto Galaviz,25,146,5.50%,5.50%,1,0.276,0.324,0.313,0.638,0.037,2,0.291,-0.1,13,-6,0.301,68
Enrique Trujillo,30,147,8.20%,17.00%,0.48,0.254,0.322,0.315,0.637,0.062,8.3,0.308,0.8,13,-6.1,0.301,68
Carlos Orrantia,35,232,6.00%,20.30%,0.3,0.274,0.317,0.33,0.647,0.057,2.3,0.341,-1.7,21,-9.8,0.301,68
Daniel Hinojosa,32,213,11.30%,22.50%,0.5,0.239,0.335,0.277,0.612,0.038,4,0.321,0.2,19,-9.1,0.3,68
Alfredo Lopez,27,210,7.10%,12.40%,0.58,0.263,0.317,0.316,0.633,0.053,3.9,0.301,-0.2,18,-9.1,0.299,67
Ricardo Valenzuela,26,245,10.20%,11.00%,0.93,0.252,0.326,0.294,0.621,0.042,2.1,0.277,-2.5,21,-10.9,0.298,66
Marco Guzman,22,165,4.80%,23.00%,0.21,0.257,0.291,0.365,0.656,0.108,4.7,0.327,0.7,14,-7.3,0.298,66
Arturo Rodriguez,25,168,7.70%,15.50%,0.5,0.24,0.297,0.347,0.644,0.107,2,0.268,0.1,14,-7.7,0.296,65
Ivan Bellazetin,30,193,6.70%,16.60%,0.41,0.236,0.298,0.339,0.638,0.103,4.3,0.275,-0.8,17,-8.8,0.296,65
Daniel Sanchez,24,131,3.80%,20.60%,0.19,0.261,0.285,0.378,0.663,0.118,3.8,0.298,-0.4,11,-6.1,0.295,64
Walter Ibarra,29,329,5.20%,21.00%,0.25,0.265,0.302,0.337,0.639,0.072,4.1,0.335,0.2,27,-16,0.293,63
Angel Chavarin,26,116,6.90%,27.60%,0.25,0.252,0.31,0.308,0.619,0.056,3.5,0.36,-0.8,10,-5.7,0.293,63
Carlos Penuelas,29,241,6.20%,13.30%,0.47,0.258,0.31,0.312,0.622,0.054,2.3,0.293,-1.1,19,-12.1,0.291,62
